,year,song,musician,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,track_href,analysis_url,won_award
140,1987,Sledgehammer,Peter Gabriel,0.641,0.682,8,-7.561,1,0.0392,0.044,0.0,0.0394,0.468,96.319,311986,4,spotify:track:4AUS8KNz7zX8XFu9L38GT0,https://api.spotify.com/v1/tracks/4AUS8KNz7zX8XFu9L38GT0,https://api.spotify.com/v1/audio-analysis/4AUS8KNz7zX8XFu9L38GT0,0
141,1987,Addicted to Love,Robert Palmer,0.702,0.578,2,-13.415,1,0.031,0.382,5.89e-06,0.0425,0.975,111.617,363640,4,spotify:track:5izGeTxueiFX1UPFGohY9w,https://api.spotify.com/v1/tracks/5izGeTxueiFX1UPFGohY9w,https://api.spotify.com/v1/audio-analysis/5izGeTxueiFX1UPFGohY9w,0
142,1987,Graceland,Paul Simon,0.732,0.705,9,-9.271,1,0.0349,0.626,0.00068,0.0813,0.848,117.925,291200,4,spotify:track:51KKQAgYFoJHgVIuJWHdHb,https://api.spotify.com/v1/tracks/51KKQAgYFoJHgVIuJWHdHb,https://api.spotify.com/v1/audio-analysis/51KKQAgYFoJHgVIuJWHdHb,0
143,1987,"""That's What Friends Are For""","Dionne Warwick & Friends (Elton John, Gladys Knight & Stevie Wonder)",0.673,0.286,8,-14.643,1,0.0313,0.294,0.0,0.086,0.199,120.117,256467,4,spotify:track:1cOj24fUMnBSXhtp7waHVW,https://api.spotify.com/v1/tracks/1cOj24fUMnBSXhtp7waHVW,https://api.spotify.com/v1/audio-analysis/1cOj24fUMnBSXhtp7waHVW,1
144,1987,Higher Love,Steve Winwood,0.701,0.89,5,-6.604,1,0.0439,0.0512,0.0807,0.493,0.912,98.765,252253,4,spotify:track:2HcokWTBGI5EjGeNVLgd8Q,https://api.spotify.com/v1/tracks/2HcokWTBGI5EjGeNVLgd8Q,https://api.spotify.com/v1/audio-analysis/2HcokWTBGI5EjGeNVLgd8Q,0
145,1988,La Bamba,Los Lobos,0.506,0.764,0,-12.239,1,0.046,0.144,0.00025,0.247,0.868,156.336,174187,4,spotify:track:0uMMLry3hzWGn3q3loqMkm,https://api.spotify.com/v1/tracks/0uMMLry3hzWGn3q3loqMkm,https://api.spotify.com/v1/audio-analysis/0uMMLry3hzWGn3q3loqMkm,0
146,1988,I Still Haven't Found What I'm Looking For,U2,0.564,0.774,1,-9.424,1,0.0368,0.0135,0.00191,0.0861,0.657,100.894,277477,4,spotify:track:6wpGqhRvJGNNXwWlPmkMyO,https://api.spotify.com/v1/tracks/6wpGqhRvJGNNXwWlPmkMyO,https://api.spotify.com/v1/audio-analysis/6wpGqhRvJGNNXwWlPmkMyO,0
147,1988,Luka,Suzanne Vega,0.63,0.697,6,-10.654,1,0.0311,0.189,0.000258,0.116,0.796,124.956,231933,4,spotify:track:5yMXAaSvxo12QkYU75Ixv0,https://api.spotify.com/v1/tracks/5yMXAaSvxo12QkYU75Ixv0,https://api.spotify.com/v1/audio-analysis/5yMXAaSvxo12QkYU75Ixv0,0
148,1988,Didn't We Almost Have It All,Whitney Houston,0.54,0.49,10,-10.151,1,0.027,0.414,0.000896,0.142,0.336,130.992,305067,4,spotify:track:19wadMw1A8XejDV4p5wMt1,https://api.spotify.com/v1/tracks/19wadMw1A8XejDV4p5wMt1,https://api.spotify.com/v1/audio-analysis/19wadMw1A8XejDV4p5wMt1,0
149,1988,"""Somewhere Out There""",Linda Ronstadt & James Ingram,0.375,0.411,0,-10.127,1,0.028,0.361,4.9e-06,0.157,0.0981,159.973,234359,4,spotify:track:0D2ZsTpMQFY0po4VrW5BtE,https://api.spotify.com/v1/tracks/0D2ZsTpMQFY0po4VrW5BtE,https://api.spotify.com/v1/audio-analysis/0D2ZsTpMQFY0po4VrW5BtE,1
150,1989,Fast Car,Tracy Chapman,0.711,0.292,4,-15.523,0,0.037,0.313,0.0,0.131,0.194,103.951,296800,4,spotify:track:2M9ro2krNb7nr7HSprkEgo,https://api.spotify.com/v1/tracks/2M9ro2krNb7nr7HSprkEgo,https://api.spotify.com/v1/audio-analysis/2M9ro2krNb7nr7HSprkEgo,0
151,1989,Giving You the Best That I Got,Anita Baker,0.637,0.542,9,-8.173,1,0.0356,0.765,0.0,0.302,0.38,105.322,233973,4,spotify:track:4FKHWhLF2dyjcoSnGlktw4,https://api.spotify.com/v1/tracks/4FKHWhLF2dyjcoSnGlktw4,https://api.spotify.com/v1/audio-analysis/4FKHWhLF2dyjcoSnGlktw4,0
152,1989,Piano in the Dark,Brenda Russell,0.729,0.316,0,-17.054,0,0.0248,0.403,8.55e-05,0.0998,0.432,99.729,320800,4,spotify:track:70RPjUR5l0jmBQndfNXP0z,https://api.spotify.com/v1/tracks/70RPjUR5l0jmBQndfNXP0z,https://api.spotify.com/v1/audio-analysis/70RPjUR5l0jmBQndfNXP0z,0
153,1989,"""Don't Worry, Be Happy"" *",Bobby McFerrin,0.675,0.166,11,-22.602,1,0.171,0.88,7.14e-05,0.0461,0.747,68.837,294400,4,spotify:track:4hObp5bmIJ3PP3cKA9K9GY,https://api.spotify.com/v1/tracks/4hObp5bmIJ3PP3cKA9K9GY,https://api.spotify.com/v1/audio-analysis/4hObp5bmIJ3PP3cKA9K9GY,1
154,1989,Be Still My Beating Heart,Sting,0.659,0.468,7,-16.647,1,0.0395,0.266,0.000525,0.0427,0.505,101.422,334133,4,spotify:track:58me6gfG81fNG4v3dpRhh5,https://api.spotify.com/v1/tracks/58me6gfG81fNG4v3dpRhh5,https://api.spotify.com/v1/audio-analysis/58me6gfG81fNG4v3dpRhh5,0
155,1990,"""Wind Beneath My Wings"" *",Bette Midler,0.51,0.458,10,-7.566,1,0.0289,0.551,0.0,0.0853,0.177,123.694,293853,4,spotify:track:2Pxqs0WmxxHTV5QaTdmt3Q,https://api.spotify.com/v1/tracks/2Pxqs0WmxxHTV5QaTdmt3Q,https://api.spotify.com/v1/audio-analysis/2Pxqs0WmxxHTV5QaTdmt3Q,1
156,1990,Don't Know Much,Linda Ronstadt & Aaron Neville,0.247,0.181,1,-15.072,1,0.0393,0.923,7.89e-05,0.0925,0.294,67.467,219640,4,spotify:track:38I0z6FhSW6xailUkpAyZp,https://api.spotify.com/v1/tracks/38I0z6FhSW6xailUkpAyZp,https://api.spotify.com/v1/audio-analysis/38I0z6FhSW6xailUkpAyZp,0
157,1990,The End of the Innocence,Don Henley,0.623,0.425,8,-13.045,1,0.0291,0.306,8.65e-05,0.108,0.392,116.593,315307,4,spotify:track:3NWcFiL6oCEagrFiTdDr1m,https://api.spotify.com/v1/tracks/3NWcFiL6oCEagrFiTdDr1m,https://api.spotify.com/v1/audio-analysis/3NWcFiL6oCEagrFiTdDr1m,0
158,1990,We Didn't Start the Fire,Billy Joel,0.712,0.967,7,-5.206,1,0.047,0.0771,0.0,0.356,0.895,145.024,287733,4,spotify:track:3Cx4yrFaX8CeHwBMReOWXI,https://api.spotify.com/v1/tracks/3Cx4yrFaX8CeHwBMReOWXI,https://api.spotify.com/v1/audio-analysis/3Cx4yrFaX8CeHwBMReOWXI,0
159,1990,The Living Years,Mike + The Mechanics,0.518,0.417,8,-13.268,1,0.0325,0.58,0.0,0.0722,0.311,97.63,330267,4,spotify:track:7tJnjRY2js0yXtNUWE4fgF,https://api.spotify.com/v1/tracks/7tJnjRY2js0yXtNUWE4fgF,https://api.spotify.com/v1/audio-analysis/7tJnjRY2js0yXtNUWE4fgF,0
160,1991,"""From a Distance""",Bette Midler,0.536,0.242,7,-11.716,1,0.0277,0.674,0.0,0.331,0.331,137.989,276346,4,spotify:track:48eiLW57CqSmCYNZRM2J8M,https://api.spotify.com/v1/tracks/48eiLW57CqSmCYNZRM2J8M,https://api.spotify.com/v1/audio-analysis/48eiLW57CqSmCYNZRM2J8M,1
161,1991,Vision of Love,Mariah Carey,0.256,0.464,5,-10.959,1,0.0382,0.433,0.0,0.121,0.355,205.362,209293,3,spotify:track:0gLQ6jhJsyYfl7PrD1RZ7X,https://api.spotify.com/v1/tracks/0gLQ6jhJsyYfl7PrD1RZ7X,https://api.spotify.com/v1/audio-analysis/0gLQ6jhJsyYfl7PrD1RZ7X,0
162,1991,Another Day in Paradise,Phil Collins,0.78,0.565,3,-7.32,0,0.0306,0.736,0.00269,0.063,0.365,101.967,322133,4,spotify:track:1NCuYqMc8hKMb4cpNTcJbD,https://api.spotify.com/v1/tracks/1NCuYqMc8hKMb4cpNTcJbD,https://api.spotify.com/v1/audio-analysis/1NCuYqMc8hKMb4cpNTcJbD,0
163,1991,Nothing Compares 2 U,Sinéad O'Connor,0.511,0.574,5,-7.016,1,0.0273,0.0425,2.33e-05,0.105,0.161,119.917,280040,4,spotify:track:3nvuPQTw2zuFAVuLsC9IYQ,https://api.spotify.com/v1/tracks/3nvuPQTw2zuFAVuLsC9IYQ,https://api.spotify.com/v1/audio-analysis/3nvuPQTw2zuFAVuLsC9IYQ,0
164,1991,Hold On,Wilson Phillips,0.679,0.657,5,-9.897,1,0.0255,0.4,0.0,0.0497,0.546,97.8,266867,4,spotify:track:4VZDv8sASBS8UruUBGTFdk,https://api.spotify.com/v1/tracks/4VZDv8sASBS8UruUBGTFdk,https://api.spotify.com/v1/audio-analysis/4VZDv8sASBS8UruUBGTFdk,0
165,1992,(Everything I Do) I Do It for You,Bryan Adams,0.526,0.365,1,-12.605,1,0.028,0.0775,1.35e-05,0.0618,0.253,131.253,394133,4,spotify:track:6eBK3edMW7bEzecF1eCezc,https://api.spotify.com/v1/tracks/6eBK3edMW7bEzecF1eCezc,https://api.spotify.com/v1/audio-analysis/6eBK3edMW7bEzecF1eCezc,0
166,1992,Losing My Religion,R.E.M.,0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,268427,4,spotify:track:31AOj9sFz2gM0O3hMARRBx,https://api.spotify.com/v1/tracks/31AOj9sFz2gM0O3hMARRBx,https://api.spotify.com/v1/audio-analysis/31AOj9sFz2gM0O3hMARRBx,0
